2026-08-23 05:16:11.807 [TRACE][START] pid=47 TRACE_OUT='/testbed/logs/fastapi_qa/sponsors_get_individual_sponsors_m3_state__pert_llm_s0/trace.log' TRACE_FILE='scripts/sponsors.py' TRACE_FUNCS=['get_individual_sponsors'] TRACE_EVENTS=['call', 'exception', 'line', 'return']
2026-08-23 05:16:11.874 /testbed/scripts/sponsors.py:127 scripts.sponsors.get_individual_sponsors event=call locals={'settings': "namespace(sponsors_token=SecretStr('**********'), github_token=SecretStr('**********'), github_repository='generated/fastapi', httpx_timeout=23, model_dump_json=<function TestSponsorsProgramState.test_main_collects_generated_sponsor_pages.<locals>.<lambda> at 0x734e3bb4f060>)"}
2026-08-23 05:16:11.875 /testbed/scripts/sponsors.py:135 scripts.sponsors.get_individual_sponsors event=line locals={'edge': "SponsorshipAsMaintainerEdge(cursor='cursor-0-3-gh9zm6', node=SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-gh9zm6tn53s', avatarUrl='https://images.invalid/gh9zm6tn53s.png', url='https://profiles.invalid/s35nt6mz9hg'), tier=Tier(name='generated-tier-20', monthlyPriceInDollars=20.0)))"}
2026-08-23 05:16:11.876 /testbed/scripts/sponsors.py:134 scripts.sponsors.get_individual_sponsors event=line locals={'nodes': "[SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-rmybpdr35sa', avatarUrl='https://images.invalid/rmybpdr35sa.png', url='https://profiles.invalid/as53rdpbymr'), tier=Tier(name='generated-tier-73', monthlyPriceInDollars=73.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-zfqrgbvmr5r', avatarUrl='https://images.invalid/zfqrgbvmr5r.png', url='https://profiles.invalid/r5rmvbgrqfz'), tier=Tier(name='generated-tier-70', monthlyPriceInDollars=70.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-fujqhztcpuc', avatarUrl='https://images.invalid/fujqhztcpuc.png', url='https://profiles.invalid/cupctzhqjuf'), tier=Tier(name='generated-tier-81', monthlyPriceInDollars=81.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-gh9zm6tn53s', avatarUrl='https://images.invalid/gh9zm6tn53s.png', url='https://profiles.invalid/s35nt6mz9hg'), tier=Tier(name='generated-tier-20', monthlyPriceInDollars=20.0))]"}
2026-08-23 05:16:11.876 /testbed/scripts/sponsors.py:135 scripts.sponsors.get_individual_sponsors event=line locals={'edge': "SponsorshipAsMaintainerEdge(cursor='cursor-0-4-58ppqx', node=SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-58ppqxxjs45', avatarUrl='https://images.invalid/58ppqxxjs45.png', url='https://profiles.invalid/54sjxxqpp85'), tier=Tier(name='generated-tier-70', monthlyPriceInDollars=70.0)))"}
2026-08-23 05:16:11.876 /testbed/scripts/sponsors.py:134 scripts.sponsors.get_individual_sponsors event=line locals={'nodes': "[SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-rmybpdr35sa', avatarUrl='https://images.invalid/rmybpdr35sa.png', url='https://profiles.invalid/as53rdpbymr'), tier=Tier(name='generated-tier-73', monthlyPriceInDollars=73.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-zfqrgbvmr5r', avatarUrl='https://images.invalid/zfqrgbvmr5r.png', url='https://profiles.invalid/r5rmvbgrqfz'), tier=Tier(name='generated-tier-70', monthlyPriceInDollars=70.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-fujqhztcpuc', avatarUrl='https://images.invalid/fujqhztcpuc.png', url='https://profiles.invalid/cupctzhqjuf'), tier=Tier(name='generated-tier-81', monthlyPriceInDollars=81.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-gh9zm6tn53s', avatarUrl='https://images.invalid/gh9zm6tn53s.png', url='https://profiles.invalid/s35nt6mz9hg'), tier=Tier(name='generated-tier-20', monthlyPriceInDollars=20.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-58ppqxxjs45', avatarUrl='https://images.invalid/58ppqxxjs45.png', url='https://profiles.invalid/54sjxxqpp85'), tier=Tier(name='generated-tier-70', monthlyPriceInDollars=70.0))]"}
2026-08-23 05:16:11.876 /testbed/scripts/sponsors.py:135 scripts.sponsors.get_individual_sponsors event=line locals={'edge': "SponsorshipAsMaintainerEdge(cursor='cursor-0-5-pu5f2e', node=SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-pu5f2ewa84f', avatarUrl='https://images.invalid/pu5f2ewa84f.png', url='https://profiles.invalid/f48awe2f5up'), tier=Tier(name='generated-tier-58', monthlyPriceInDollars=58.0)))"}
2026-08-23 05:16:11.876 /testbed/scripts/sponsors.py:134 scripts.sponsors.get_individual_sponsors event=line locals={'nodes': "[SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-rmybpdr35sa', avatarUrl='https://images.invalid/rmybpdr35sa.png', url='https://profiles.invalid/as53rdpbymr'), tier=Tier(name='generated-tier-73', monthlyPriceInDollars=73.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-zfqrgbvmr5r', avatarUrl='https://images.invalid/zfqrgbvmr5r.png', url='https://profiles.invalid/r5rmvbgrqfz'), tier=Tier(name='generated-tier-70', monthlyPriceInDollars=70.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-fujqhztcpuc', avatarUrl='https://images.invalid/fujqhztcpuc.png', url='https://profiles.invalid/cupctzhqjuf'), tier=Tier(name='generated-tier-81', monthlyPriceInDollars=81.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-gh9zm6tn53s', avatarUrl='https://images.invalid/gh9zm6tn53s.png', url='https://profiles.invalid/s35nt6mz9hg'), tier=Tier(name='generated-tier-20', monthlyPriceInDollars=20.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-58ppqxxjs45', avatarUrl='https://images.invalid/58ppqxxjs45.png', url='https://profiles.invalid/54sjxxqpp85'), tier=Tier(name='generated-tier-70', monthlyPriceInDollars=70.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-pu5f2ewa84f', avatarUrl='https://images.invalid/pu5f2ewa84f.png', url='https://profiles.invalid/f48awe2f5up'), tier=Tier(name='generated-tier-58', monthlyPriceInDollars=58.0))]"}
2026-08-23 05:16:11.876 /testbed/scripts/sponsors.py:135 scripts.sponsors.get_individual_sponsors event=line locals={'edge': "SponsorshipAsMaintainerEdge(cursor='cursor-0-6-jcw7c4', node=SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-jcw7c4k2snj', avatarUrl='https://images.invalid/jcw7c4k2snj.png', url='https://profiles.invalid/jns2k4c7wcj'), tier=Tier(name='generated-tier-49', monthlyPriceInDollars=49.0)))"}
2026-08-23 05:16:11.876 /testbed/scripts/sponsors.py:134 scripts.sponsors.get_individual_sponsors event=line locals={'nodes': "[SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-rmybpdr35sa', avatarUrl='https://images.invalid/rmybpdr35sa.png', url='https://profiles.invalid/as53rdpbymr'), tier=Tier(name='generated-tier-73', monthlyPriceInDollars=73.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-zfqrgbvmr5r', avatarUrl='https://images.invalid/zfqrgbvmr5r.png', url='https://profiles.invalid/r5rmvbgrqfz'), tier=Tier(name='generated-tier-70', monthlyPriceInDollars=70.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-fujqhztcpuc', avatarUrl='https://images.invalid/fujqhztcpuc.png', url='https://profiles.invalid/cupctzhqjuf'), tier=Tier(name='generated-tier-81', monthlyPriceInDollars=81.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-gh9zm6tn53s', avatarUrl='https://images.invalid/gh9zm6tn53s.png', url='https://profiles.invalid/s35nt6mz9hg'), tier=Tier(name='generated-tier-20', monthlyPriceInDollars=20.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-58ppqxxjs45', avatarUrl='https://images.invalid/58ppqxxjs45.png', url='https://profiles.invalid/54sjxxqpp85'), tier=Tier(name='generated-tier-70', monthlyPriceInDollars=70.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-pu5f2ewa84f', avatarUrl='https://images.invalid/pu5f2ewa84f.png', url='https://profiles.invalid/f48awe2f5up'), tier=Tier(name='generated-tier-58', monthlyPriceInDollars=58.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-jcw7c4k2snj', avatarUrl='https://images.invalid/jcw7c4k2snj.png', url='https://profiles.invalid/jns2k4c7wcj'), tier=Tier(name='generated-tier-49', monthlyPriceInDollars=49.0))]"}
2026-08-23 05:16:11.876 /testbed/scripts/sponsors.py:135 scripts.sponsors.get_individual_sponsors event=line locals={'edge': "SponsorshipAsMaintainerEdge(cursor='cursor-0-7-dx5jcu', node=SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-dx5jcu7kdek', avatarUrl='https://images.invalid/dx5jcu7kdek.png', url='https://profiles.invalid/kedk7ucj5xd'), tier=Tier(name='generated-tier-7', monthlyPriceInDollars=7.0)))"}
2026-08-23 05:16:11.876 /testbed/scripts/sponsors.py:134 scripts.sponsors.get_individual_sponsors event=line locals={'nodes': "[SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-rmybpdr35sa', avatarUrl='https://images.invalid/rmybpdr35sa.png', url='https://profiles.invalid/as53rdpbymr'), tier=Tier(name='generated-tier-73', monthlyPriceInDollars=73.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-zfqrgbvmr5r', avatarUrl='https://images.invalid/zfqrgbvmr5r.png', url='https://profiles.invalid/r5rmvbgrqfz'), tier=Tier(name='generated-tier-70', monthlyPriceInDollars=70.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-fujqhztcpuc', avatarUrl='https://images.invalid/fujqhztcpuc.png', url='https://profiles.invalid/cupctzhqjuf'), tier=Tier(name='generated-tier-81', monthlyPriceInDollars=81.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-gh9zm6tn53s', avatarUrl='https://images.invalid/gh9zm6tn53s.png', url='https://profiles.invalid/s35nt6mz9hg'), tier=Tier(name='generated-tier-20', monthlyPriceInDollars=20.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-58ppqxxjs45', avatarUrl='https://images.invalid/58ppqxxjs45.png', url='https://profiles.invalid/54sjxxqpp85'), tier=Tier(name='generated-tier-70', monthlyPriceInDollars=70.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-pu5f2ewa84f', avatarUrl='https://images.invalid/pu5f2ewa84f.png', url='https://profiles.invalid/f48awe2f5up'), tier=Tier(name='generated-tier-58', monthlyPriceInDollars=58.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-jcw7c4k2snj', avatarUrl='https://images.invalid/jcw7c4k2snj.png', url='https://profiles.invalid/jns2k4c7wcj'), tier=Tier(name='generated-tier-49', monthlyPriceInDollars=49.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-dx5jcu7kdek', avatarUrl='https://images.invalid/dx5jcu7kdek.png', url='https://profiles.invalid/kedk7ucj5xd'), tier=Tier(name='generated-tier-7', monthlyPriceInDollars=7.0))]"}
2026-08-23 05:16:11.877 /testbed/scripts/sponsors.py:135 scripts.sponsors.get_individual_sponsors event=line locals={'edge': "SponsorshipAsMaintainerEdge(cursor='cursor-0-8-65r9rs', node=SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-65r9rsezt84', avatarUrl='https://images.invalid/65r9rsezt84.png', url='https://profiles.invalid/48tzesr9r56'), tier=Tier(name='generated-tier-43', monthlyPriceInDollars=43.0)))"}
2026-08-23 05:16:11.877 /testbed/scripts/sponsors.py:134 scripts.sponsors.get_individual_sponsors event=line locals={'nodes': "[SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-rmybpdr35sa', avatarUrl='https://images.invalid/rmybpdr35sa.png', url='https://profiles.invalid/as53rdpbymr'), tier=Tier(name='generated-tier-73', monthlyPriceInDollars=73.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-zfqrgbvmr5r', avatarUrl='https://images.invalid/zfqrgbvmr5r.png', url='https://profiles.invalid/r5rmvbgrqfz'), tier=Tier(name='generated-tier-70', monthlyPriceInDollars=70.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-fujqhztcpuc', avatarUrl='https://images.invalid/fujqhztcpuc.png', url='https://profiles.invalid/cupctzhqjuf'), tier=Tier(name='generated-tier-81', monthlyPriceInDollars=81.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-gh9zm6tn53s', avatarUrl='https://images.invalid/gh9zm6tn53s.png', url='https://profiles.invalid/s35nt6mz9hg'), tier=Tier(name='generated-tier-20', monthlyPriceInDollars=20.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-58ppqxxjs45', avatarUrl='https://images.invalid/58ppqxxjs45.png', url='https://profiles.invalid/54sjxxqpp85'), tier=Tier(name='generated-tier-70', monthlyPriceInDollars=70.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-pu5f2ewa84f', avatarUrl='https://images.invalid/pu5f2ewa84f.png', url='https://profiles.invalid/f48awe2f5up'), tier=Tier(name='generated-tier-58', monthlyPriceInDollars=58.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-jcw7c4k2snj', avatarUrl='https://images.invalid/jcw7c4k2snj.png', url='https://profiles.invalid/jns2k4c7wcj'), tier=Tier(name='generated-tier-49', monthlyPriceInDollars=49.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-dx5jcu7kdek', avatarUrl='https://images.invalid/dx5jcu7kdek.png', url='https://profiles.invalid/kedk7ucj5xd'), tier=Tier(name='generated-tier-7', monthlyPriceInDollars=7.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-65r9rsezt84', avatarUrl='https://images.invalid/65r9rsezt84.png', url='https://profiles.invalid/48tzesr9r56'), tier=Tier(name='generated-tier-43', monthlyPriceInDollars=43.0))]"}
2026-08-23 05:16:11.877 /testbed/scripts/sponsors.py:135 scripts.sponsors.get_individual_sponsors event=line locals={'edge': "SponsorshipAsMaintainerEdge(cursor='cursor-0-9-h39tbh', node=SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-h39tbhwvw4y', avatarUrl='https://images.invalid/h39tbhwvw4y.png', url='https://profiles.invalid/y4wvwhbt93h'), tier=Tier(name='generated-tier-85', monthlyPriceInDollars=85.0)))"}
2026-08-23 05:16:11.877 /testbed/scripts/sponsors.py:134 scripts.sponsors.get_individual_sponsors event=line locals={'nodes': "[SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-rmybpdr35sa', avatarUrl='https://images.invalid/rmybpdr35sa.png', url='https://profiles.invalid/as53rdpbymr'), tier=Tier(name='generated-tier-73', monthlyPriceInDollars=73.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-zfqrgbvmr5r', avatarUrl='https://images.invalid/zfqrgbvmr5r.png', url='https://profiles.invalid/r5rmvbgrqfz'), tier=Tier(name='generated-tier-70', monthlyPriceInDollars=70.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-fujqhztcpuc', avatarUrl='https://images.invalid/fujqhztcpuc.png', url='https://profiles.invalid/cupctzhqjuf'), tier=Tier(name='generated-tier-81', monthlyPriceInDollars=81.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-gh9zm6tn53s', avatarUrl='https://images.invalid/gh9zm6tn53s.png', url='https://profiles.invalid/s35nt6mz9hg'), tier=Tier(name='generated-tier-20', monthlyPriceInDollars=20.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-58ppqxxjs45', avatarUrl='https://images.invalid/58ppqxxjs45.png', url='https://profiles.invalid/54sjxxqpp85'), tier=Tier(name='generated-tier-70', monthlyPriceInDollars=70.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-pu5f2ewa84f', avatarUrl='https://images.invalid/pu5f2ewa84f.png', url='https://profiles.invalid/f48awe2f5up'), tier=Tier(name='generated-tier-58', monthlyPriceInDollars=58.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-jcw7c4k2snj', avatarUrl='https://images.invalid/jcw7c4k2snj.png', url='https://profiles.invalid/jns2k4c7wcj'), tier=Tier(name='generated-tier-49', monthlyPriceInDollars=49.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-dx5jcu7kdek', avatarUrl='https://images.invalid/dx5jcu7kdek.png', url='https://profiles.invalid/kedk7ucj5xd'), tier=Tier(name='generated-tier-7', monthlyPriceInDollars=7.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-65r9rsezt84', avatarUrl='https://images.invalid/65r9rsezt84.png', url='https://profiles.invalid/48tzesr9r56'), tier=Tier(name='generated-tier-43', monthlyPriceInDollars=43.0)), SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-h39tbhwvw4y', avatarUrl='https://images.invalid/h39tbhwvw4y.png', url='https://profiles.invalid/y4wvwhbt93h'), tier=Tier(name='generated-tier-85', monthlyPriceInDollars=85.0))]"}
2026-08-23 05:16:11.877 /testbed/scripts/sponsors.py:136 scripts.sponsors.get_individual_sponsors event=line locals={}
2026-08-23 05:16:11.877 /testbed/scripts/sponsors.py:137 scripts.sponsors.get_individual_sponsors event=line locals={'last_edge': "SponsorshipAsMaintainerEdge(cursor='cursor-0-9-h39tbh', node=SponsorshipAsMaintainerNode(sponsorEntity=SponsorEntity(login='user-h39tbhwvw4y', avatarUrl='https://images.invalid/h39tbhwvw4y.png', url='https://profiles.invalid/y4wvwhbt93h'), tier=Tier(name='generated-tier-85', monthlyPriceInDollars=85.0)))"}
